id,fav_cnt,rt_cnt,text
717102617139232769,0,0,@tomasvyskocil Toto video je soukromé. :-(
716938222811684864,3,2,.@hledani_seznam zrychluje svého Freshbota
716928574566109185,3,1,Google Apps Script for Beginners
716744140424351745,0,8,RT @eshopsummitcz: #ESS16: #WiFi bylo jedno velké téma. Neustále jsme to ladili a @smitka se fakt nadřel-čtěte  http…
716601476752261120,2,0,@OptimalizovanyW Podle mě dobrý krok - z kapacitních důvodů prostě Brno přestávalo dostačovat. @mktfest
716600783509258241,4,0,"Automaticky vytvořený ""filmeček"" z #ess16 od Google:-)"
716572576596828164,0,7,"RT @kalousekm: Ano.Kdo to nařídil,je zásadní otázka.Budu jí ve sněmovně hlasitě a neúnavně klást.Veřejnost má na odpověď právo. https://t.c…"
716561816533528576,1,0,"@DavidBeska Můžu ti pomoct leda takhle, pokud je pro tebe Dropbox lepší"
716560354994728960,0,0,"@DavidBeska Je to veřejná Facebook galerie na veřejné Facebook stránce, víc s tím asi neudělám:-("
716557057923682304,7,4,"Můj výběr fotek z #ess16 - zejména řečníků , sdílejte označujte se:-)"
716518660194623488,13,5,"Slidy z přednášky o indexaci stránek na #ess16  + omluva za přeřek, u  to je 2 sec a ne 2 min"
716276977079095296,1,0,Fakt nás nikdo s @jakubcizmar nechce odvézt do Prahy?:-) #ess16
716276687873380352,0,3,"RT @radimhasalik: @PavelUngr Nadupal prezentaci tolika fakty, že skoro nestíhám twítovat bokem a píšu jako fretka. #ess16"
716263692929744900,0,3,"RT @jan_junek: Najděte si víc reklam PornHubu, jsou boží! @JirkaCh #ESS16"
716255778534002689,24,8,"Dobírka je výrazem nedůvěry k e-shopu, platba předem k zákazníkovi. A teď babo raď:-) #ess16"
716251280017063936,8,3,Odborné články @jakubcizmar o e-mailingu najdete také na  #priruckamarketera #ESS16
716248971841286145,2,1,"Každý e.shop dělá automatizovaný e-mailing i když o tom neví - e-maily s potvrzením objednávky, říká @jakubcizmar na #ESS16"
716246528407552000,3,1,"Prosím, nevzal by mne a @jakubcizmar po #ess16 autem do Prahy?"
716245454581850112,7,1,"Co je lepší než https? Zmrzlina, tvrdě kontruje @spazef0rze na #ESS16"
716237314322726914,57,18,"Tématická hláška od @spazef0rze na #ess16, ""Já taky občas spravuju nějaký e-shopy, jen o tom ty e-shopy nevědí."":-)"
716229290216583168,2,0,"Obědy super, estetická fronta napříč patry i uzavřené nádoby na oběd (došlo) inspirují k neuvěřitelným akcím. #ESS16"
716217562242138113,0,2,RT @Abbe2P: Podle @filippodstavec na #ess16 budou v roce 2020 linkbuildeři umět spolupracovat s PR. Budou ale PR specialisté chtít?
716214818378752000,1,0,@h1cz V té mé ano:-)
716214572877746176,0,2,"RT @Pethas: Show ala @filippodstavec dobra, což o to, ale obsah vysoce, vysoce převyšuje vše ostatní. Diky. #vize #budoucnost #odhady #ESS16"
716214292601774080,1,0,@h1cz @filippodstavec První to v ČR vyzkoušel @Jan_Kvasnicka na #shopcamp 2015:-)
716212248893657088,0,0,@benAbraham @Pavlina_speaks @jmtcz @eshopkonzultant No I dont see any problem here.
716210338635579392,12,4,"No ty vole, jako bez řečí, @filippodstavec má nejlepší show na #ESS16 a to je bez diskuse."
716207127602323456,1,0,"@benAbraham @Pavlina_speaks @jmtcz I think that @eshopkonzultant asks people to join #ess16 as speakers, may be women did not join."
716196335700017152,0,0,"@adlo Chápu, to je určitě správná připomínka."
716196134948089856,9,3,"Obsah je sdělení, které chcete říct. Pokud víte, že chcete dělat obsah, ale nevíte jaký, jdete na to špatně. @JanAmbroz na #ESS16"
716192992013520896,0,0,@adlo Fakt? Proč ne?
716184558484463616,0,3,"RT @gopaycz: Naprostý souhlas s @radimhasalik na #ESS16: dobírka je projev nedůvěry. Tesat, tesat."
716183076896972800,0,0,"@eshopsummitcz @eVisionscz @jantichy Inu 12 hodin sem, 12 hodin tam:-)"
716181157998632960,8,1,"Škoda, že přednášející občas odpovídají na jinou otázku než byla položena. To by jim moderátor neměl odpouštět. @veselovskyma na #ess16 :-)"
716180544174821376,8,0,"Ani po 10 letech se online marketingová komunita nenaučila že @h1cz se nejmenuje H1, ale H1.cz:-) #ESS16"
716180040636108800,4,0,"@JKasparu No, možná bychom to měli změnit a udělat si někdy společnou dvoupřednášku:-)"
716179464590372864,1,0,"Analýza klíčových slov podruhé na #ess16 a já se ptám, není to trochu málo?:-)"
716177544794480640,1,0,"@Pavlina_speaks @jmtcz Probaly women didnt want to participate, I guess..."
716175137196744704,1,0,"Někdo poznal někdo ne, ve Photoshopu upravené Bing Webmaster Tools bohužel nejsou Seznam Webmaster tools:-).#april"
716173845661630464,9,5,Do panelovky o marketingu na #ess16 přišly 2 trička a 2 košile:-)
716146129319108608,16,1,"Dobrá #afterparty to byla, co?:-) #ess16"
716055857943986176,0,4,"RT @JKasparu: Kdybych pred rokem rekl, ze dostaneme ceskou e-commerce scenu na parbu do K2 v CB, nikdo by mi to neveril #ESS16 :-)))))"
716047899956744192,0,1,"RT @jakubcizmar: . @PavelUngr mi říka o půlnoci: ""víš jak budeš zítra mluvit? Vůbec!"" :) hm... A pak přednášejte :)"
715986112918003712,4,1,ŽIVĚ na #Periscope: #afterparty #ess16 aneb v Českých Budějovicích by chtěl žít každý
715967589646737408,6,3,#afterparty #ess16 jede!
715961861032845313,1,0,@MirHruska @janovsky IMHO se to stále měří a testuje. Ale podle mě je to vyřešený.
715937966963757057,2,0,"Veceříme v Minipivovaru, Krajinská 27. Připojíte se? #ess16"
715929983601000448,0,4,"RT @RadekSchenk: Průměr je hloupej, protože je vždycky průměrnej a nejlepší profík na sociály musí byt 50+, protože zná život. A tečka. #es…"
715926864422903808,1,0,"@keellee Tak to souhlasím, já mám i docela UX výhrad vůči webu i materiálům, chbek je tam IMHO víc."
715925893613543424,0,0,"@keellee Jako myslíš, že tu chybí téma jak graficky upravit e-shop a profily sociálních sítí? Nebo je to kritika @eshopsummitcz?"
715925122671120385,0,0,@keellee Co tím myslíš? #ESS16
715884404980248578,0,0,@Landsman V pohodě :-)
715877171701628928,31,8,"Skvělá zpráva, v @hledani_seznam vyslyšeli naše přání a spouští testování ""Seznam Webmaster Tools""."
715876145930043392,0,0,"@MirHruska @petrsoukup @tkrause @hledani_seznam @janovsky Není, protože to není oficiální zpráva:-)"
715867724136714240,0,0,@budismir @DavidBeska Nejsem konzultantem bezdůvodně :-)
715866227290337280,6,1,"Já souhlasím také a doplňuji, že nejen pro PPC (ux, obsah, struktura, trendy, brand, konkurence)"
715859684478070785,0,0,@vitmadron @zbiejczuk A to souvisí s obědem?
715857082793242625,0,0,@vitmadron To podle mne nesouvísi s obědem.
715856995279106050,0,2,RT @DavidBeska: @JKasparu: Pokud nemate mobilni web tak na mobilech proste neinzerujte. #ESS16
715855895025098752,0,0,@PeterBirdas @zbiejczuk Na videu které bude @eshopsummitcz prodávat.
715855749319098368,8,0,"Protože je dneska Apríla, bral bych informace z dnešních přednášek na #ESS16 s rezervou:-D Nikdy nevíte:-)"
715852427845636098,1,0,"@MichalByrtus To je právě ten problém, je to sázka do loterie a ne dobrá služba."
715847914392854528,0,0,"@MichalByrtus To musí být dost strašné, když si uvědomím jak gunguje ta česká:-/ @SimonaKijonkova"
715842038563020800,0,3,RT @Effectixcom: Jumpshot nebo SimilarWeb pro analýzu konkurence? Podle Jana Mayera je přesnější Jumpshot #ESS16
715831605823160320,20,7,"Skvělá přednáška od @zbiejczuk, asi nejlepší co jsem od nej viděl. Konkrétní, praktické, s ukázkami a fakt vtipné #ess16"
715828706867027970,17,2,Adam @zbiejczuk vyhlíží lepší příspěvky na sociálních sítích:-) #ess16
715828271334690817,0,1,RT @chromanna: Please retweet #ess16
715825540968620032,16,3,"Řešíme nejnovější trendy online markeringu, ale slidy děláme pořád jak z minulého století #ess16 #sameOdrazky"
715823647269785605,7,0,Na #ess16 o sociálních sítích twítuje i Avinash Kaushik... ... v prezentaci @zbiejczuk :-)
715817601847410688,1,0,@keellee Správný hashtag je #ess16 :-)
715802891647328256,0,0,@tkrause S klientem jsme přicházeli v lednu a @hledani_seznam @janovsky
715429988384829440,1,0,@zpravickylupa A co @ProtonMail?
715222740865777664,1,0,@nawebcz @heurekacz @LinkiCZ byly řečeny na #seologer :-) Možná @LinkiCZ bude chtít sám říct víc:-)
715215766421958656,1,0,"Skrývání affiliate odkazů je super pro SEO, špatné pro vyhodnocování affiliate #czaffil #seologer říká @LinkiCZ"
715214425393905665,3,1,Co si myslí Google o Affiliate? #czaffil #seologer
715213229300060160,1,0,Na dnešním #seologer o #czaffil a #seo od @LinkiCZ . Hezky se nám skupinka rozdělila na SSEO a Affil a máme tu fajn skupinovou dynamiku:-)
715126771205718017,0,0,@JakubBoucek Co je na tom špatně? Mě se to líbí?
715107692310892544,3,0,"Dobře @seznam_cz, budou i ""Seznam Apps""?:-)"
715060235484925952,0,0,"@DegeneraceXYZ To se ale může stát i při běžném dni kdy tweetuju ""naživo"". prostě mám hodně práce, školím, schůzka s klientem atp."
714842234739363844,0,0,@DegeneraceXYZ Co je špatnýho na tom používat Buffer? Vzhledem k množství obsahu co projdu mě to přijde dobré řešení.
714841572806901760,0,0,@DegeneraceXYZ Ale díky za zpětnou vazbu - mrknu do Bufferu na inteligentnější rozložení v čase.
714840890976649216,0,0,"@DegeneraceXYZ Tak pro pořádek: dnes to byly 4, včera 1, předtím 2, předtím, 1. předtím 2. Tolik k 50 tweetům:-)"
714822445358833664,6,1,"Důležité rady v obsahovém marketingu, které je třeba ignorovat  aneb ne každá rada je dobrá:)"
714814473882759169,2,1,"30 blogů o obsahovém marketingu, které byste měli sledovat"
714798004172103681,5,0,Základní použití regulárních výrazů nejen pro lidi od SEO
714786495744327681,4,0,"Pinterest v ČR využije jen pár značek, ale pokud jste jedna z nich, tipy na strategii se budou hodit"
714784806568124416,7,0,"Sice v angličtině, ale praktické a konkrétní tipy na dobrý copywriting od @buffer - ""..kdyby Don Draper tweetoval.."""
714754787703660544,0,71,RT @veselovskyma: Česko je členem EU a NATO. Je spojencem USA. Zahraniční politiku tvoří vláda. Je dobré si to připomenout. #sliby #velkych…
714754502272921600,0,3,RT @SvetAndroida: Fotoaparát Google přinese rozpoznávání objektů jako Goggles -
714749737631629313,0,2,"RT @APEKcz: Ihned po velikonočních svátcích pokračujeme další akcí. Opět @vetrovka,tentokrát na téma PPC Remarketing #apek_event https://t.…"
714749590403223552,0,5,"RT @Jan_Kvasnicka: Pozor na to, jakým způsobem plánujete finance, analytiku nepodceňujte! @jantichy a @filippodstavec by vám dali #chjo htt…"
714411602276192257,0,0,@SeoPizza_cz Neříkám přece opak:-)
714376995124166656,27,6,"Myslíte si, že stačí obsah a to je SEO? Chyba, technické SEO se spoustou důležitých technických aspektů se vrací"
714051361252450305,13,2,"Klíčova slova na webu. Nenechte se mýlit, najdete “ term frequency–inverse frequency” nebo ""semantic distance"""
714050356720844800,7,0,Víte co už 2 roky Google doporučuje pro sitemapy a RSS/Atom feedy?  Opáčko:-)
714043590234779648,0,1,"RT @Jan_Kvasnicka: Velká pochvala @mladypodnikatel aka @atsor za videa, která natáčí. Upřímná a plná inspirace, viz …"
713703071226966016,19,3,Moc pěkně zpracovaný průvodce odstraňováním penalizace na Google
713413162264035329,5,1,Bude to super! #seoux podporuje jaknasite.cz. @annaud &amp; @Michelle_LSKT jsou skvělé lektorky i odbornice. Jděte tam!
713407139813974017,1,0,@Martin_Juha S tím nelze než souhlasit:-)
713321701057175560,0,0,"@Martin_Juha Takže ta změna je v tom, že to co je roky ve Webmaster Guidelines zkopírovali na blog? To se mě moc nezdá:-/"
713310516731650050,0,0,"@Martin_Juha Nemyslím si, že je to nějaká změna. Placené odkazy (jakoukoliv formou) prosazuje Google dlouhodobě jako nofollow."
713310225797877764,0,4,RT @navolnenoze: Jedinečný pohled do zákulisí pořádání školení. @Jan_Kvasnicka a @PavelUngr shrnuli nej fauly z příprav kurzu SEOUX ~ https…
712982996220055552,0,3,RT @filippodstavec: 19.-20.května jedeme s @PavelUngr a @Jan_Kvasnicka na konferenci:  Kupujeme hromadný lístek. Ne…
712965931614519296,0,0,@Ceskasporitelna Považujete za profesionální tuhle informaci řešit veřejně?
712925371340103681,1,0,"@Ceskasporitelna Ctibore, co nejdříve v hantýrce České spořitelny znamená horizonty měsíců? Nebo spíše let? @janpoboril"
712743492846559234,0,0,"@mhumpolec @Lukaspitra To bych se tedy hodně divil, je to proti jeho filosofii přirozeného odkazového profilu."
712532447456587776,2,1,Gary Illyes : Penguin delayed until we're sure it does what it is supposed to.  No comment:-)
712356400198975488,0,0,"@smety_tw To je příklad dobré implementace, pak existuje ještě druhá varianta @Jahoda"
712356042940747777,0,0,"@Jahoda @smety_tw Nerad bych tu propíral klienty, pardon."
712345303534403587,0,0,@smety_tw @Jahoda Mají jen na té URL vyhledávač nic nevidí:-)
712343785729073157,0,0,@smety_tw @Jahoda NO a pak jsou weby napsané v Agularu (nebudu práskat) a 80% URL neindexovaných. Prostě záleží na implementaci.
712323582479704065,10,2,"Když copywriter píše jak na web, nemusí to být dobré. Když to píše @ottocopy , je to skvělé"
712272332476260352,2,0,Google testuje - zase - zobrazování obrázků přímo v snippetu
712187808149020672,0,0,"@Jahoda Díky, k tomu by mohl asi více napsat @jantichy odborník na JavaScript a vyhledávače.:-) Honzo? Co říkáš na článek?"
712187326177398785,0,0,"@LinkiCZ Umí fakt to samé, co Boomerang?"
711934380697133057,1,0,@h_onza Jedna z mála věcí co využiju i já:-)
711892126561337344,3,0,Jak správně testovat SEO
711891122113613825,10,2,"Fonty zdarma pro lidi co rpacují hodně se zdrojovým kódem - programátory, kodéry"
711886433691242496,11,3,Super shrnutí problému s názvem duplicitní obsah
